Title,Product ID,Type,Status,Permalink,Sku,Current Price,Regular Price,Sale Price,Downloadable,Virtual,Cogs,Managing Stock,In Stock,Stock Quantity,Backorders Allowed,Weight,Barcode,Brand,Tax Status,Tax Class,Shipping Class,Reviews Allowed,Average Rating,Rating Count,Atts,Dimensions,Low Stock Amount,Sold Individually,Catalog Visibility,Product Created At,Product Updated At,Image,Description,Tags,Category IDs,Category Names,Gross Items Sold,Items Sold,Gross Sales,Total Tax,Total Discounted,Total Refunds,Items Refunded,First Sold,Last Sold,Net Sales,Net Orders,Gross Items Sold Free,Daily Gross Items Sold,Days Of Stock Left
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Payment Plan)",31370,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-payment-plan/,BPTIM-P,139,139,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 12:37,10/30/24 6:01,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,826,826,82679.75,0,1529,0,0,1/1/25 18:33,9/25/25 12:11,82679.75,826,0,3.09,
Anxiety: It's Not All in Your Mind (Payment Plan),36691,subscription,publish,https://courses.spiritrock.org/product/anxiety-its-not-all-in-your-mind-payment-plan/,ANXIETY-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,2/10/25 6:19,2/20/25 17:39,https://courses.spiritrock.org/wp-content/uploads/2025/02/pexels-simon73-1266810-scaled.jpg,,,118,Courses,730,730,19460.45,0,353.8,0,0,2/19/25 12:38,9/19/25 22:17,19460.45,730,0,2.73,
April Insight Meditation Retreat at Home (Payment Plan),37824,subscription,publish,https://courses.spiritrock.org/product/masters-insight-meditation-home-retreat-payment-plan/,MIMHR-P,49,49,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/5/25 8:47,3/24/25 17:27,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-sadaham-yathra-249884-813421-scaled.jpg,,,118,Courses,533,533,18100.7,0,107.8,0,0,3/13/25 5:14,7/19/25 14:40,18100.7,533,0,2,
Honoring Our Teachers: Sylvia Boorstein and Sharon Salzberg in Conversation (Payment Plan),39876,subscription,publish,https://courses.spiritrock.org/product/honoring-our-teachers-sylvia-boorstein-and-sharon-salzberg-in-conversation-payment-plan/,HOT-P,29,29,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/19/25 10:38,3/27/25 9:20,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-mali-142497-1-scaled.jpg,,,118,Courses,410,410,9957.3,0,255.2,0,0,3/27/25 7:26,8/27/25 8:46,9957.3,410,0,1.54,
Stand Up For Compassion: A Free Course and Resource for Navigating Uncertain Times with Jack Kornfield,49088,simple,publish,https://courses.spiritrock.org/product/stand-up-for-compassion-a-free-course-and-resource-for-navigating-uncertain-times-with-jack-kornfield/,stand-up,0,0,0,,,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,6/24/25 7:04,6/24/25 7:04,https://courses.spiritrock.org/wp-content/uploads/2025/06/image-2.png,,,118,Courses,404,404,0,0,0,0,0,6/24/25 15:34,9/17/25 19:05,0,404,404,1.51,
Anxiety: It's Not All in Your Mind,36688,simple,publish,https://courses.spiritrock.org/product/anxiety-its-not-all-in-your-mind/,ANXIETY,299,299,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,2/10/25 6:19,2/13/25 15:53,https://courses.spiritrock.org/wp-content/uploads/2025/02/pexels-simon73-1266810-scaled.jpg,,,118,Courses,375,375,94910,0,9079.5,0,0,2/19/25 10:53,4/18/25 10:39,94910,375,22,1.4,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Payment Plan) (Early Bird)",31372,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-payment-plan-early-bird/,BPTIM-P-EB,90,90,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 12:55,9/26/24 12:27,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,308,308,27598.5,0,121.5,0,0,1/1/25 21:30,9/24/25 9:25,27598.5,308,0,1.15,
"Buddhist Psychology Training Integrating Mindfulness, Science, and Clinical Practice (Payment Plan) (Special Pricing)",31382,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-payment-plan-special-pricing/,BPTIM-P-S,119,139,119,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,9/20/24 13:20,10/30/24 6:02,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,307,307,36318.8,0,214.2,0,0,1/3/25 7:55,9/19/25 13:49,36318.8,307,0,1.15,
"Buddhist Psychology Training: Integrating Mindfulness, Science, and Clinical Practice | August 2025 (Payment Plan)",41412,subscription,publish,https://courses.spiritrock.org/product/buddhist-psychology-training-integrating-mindfulness-science-and-clinical-practice-august-2025-payment-plan/,BP6T25,149,149,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,4/1/25 13:08,8/27/25 0:20,https://courses.spiritrock.org/wp-content/uploads/2024/09/Buddhist-Psychology-Training-Integrating-Mindfulness-Science-and-Clinical-Practice-28559599.webp,,,118,Courses,271,271,26875.75,0,108,0,0,4/20/25 7:47,9/25/25 10:12,26875.75,271,0,1.01,
April Insight Meditation Retreat at Home,37823,simple,publish,https://courses.spiritrock.org/product/masters-insight-meditation-home-retreat/,MIMHR,499,499,0,,1,,,1,,,,,,taxable,,,,0,,,"{""length"":"""",""width"":"""",""height"":""""}",,1,,3/5/25 8:39,3/24/25 17:27,https://courses.spiritrock.org/wp-content/uploads/2025/03/pexels-sadaham-yathra-249884-813421-scaled.jpg,,,118,Courses,267,267,86182.65,0,3582.1,0,0,3/13/25 5:43,4/24/25 12:16,86182.65,267,5,1,
